Lon,Lat
65.0,876.0
66.0,875.0
66.0,876.0
66.0,877.0
67.0,876.0
89.0,930.0
90.0,929.0
90.0,930.0
90.0,931.0
91.0,930.0
109.0,946.0
110.0,945.0
110.0,946.0
110.0,947.0
111.0,886.0
111.0,946.0
112.0,885.0
112.0,886.0
112.0,887.0
113.0,886.0
113.0,888.0
114.0,887.0
114.0,888.0
114.0,889.0
115.0,888.0
117.0,864.0
118.0,863.0
118.0,864.0
118.0,865.0
119.0,864.0
127.0,796.0
128.0,795.0
128.0,796.0
128.0,797.0
129.0,796.0
131.0,864.0
132.0,863.0
132.0,864.0
132.0,865.0
133.0,864.0
139.0,808.0
140.0,807.0
140.0,808.0
140.0,809.0
141.0,808.0
153.0,808.0
153.0,1104.0
154.0,807.0
154.0,808.0
154.0,809.0
154.0,1103.0
154.0,1104.0
154.0,1105.0
155.0,808.0
155.0,1104.0
169.0,1012.0
170.0,1011.0
170.0,1012.0
170.0,1013.0
171.0,1012.0
175.0,820.0
175.0,1042.0
176.0,819.0
176.0,820.0
176.0,821.0
176.0,1041.0
176.0,1042.0
176.0,1043.0
177.0,820.0
177.0,1042.0
187.0,808.0
188.0,807.0
188.0,808.0
188.0,809.0
189.0,808.0
197.0,1036.0
198.0,1035.0
198.0,1036.0
198.0,1037.0
199.0,1036.0
207.0,842.0
208.0,841.0
208.0,842.0
208.0,843.0
209.0,842.0
219.0,830.0
220.0,829.0
220.0,830.0
220.0,831.0
221.0,830.0
225.0,884.0
226.0,883.0
226.0,884.0
226.0,885.0
227.0,884.0
228.0,883.0
228.0,884.0
228.0,885.0
229.0,884.0
231.0,922.0
232.0,921.0
232.0,922.0
232.0,923.0
233.0,922.0
239.0,908.0
240.0,907.0
240.0,908.0
240.0,909.0
241.0,908.0
251.0,896.0
252.0,895.0
252.0,896.0
252.0,897.0
253.0,896.0
253.0,918.0
254.0,917.0
254.0,918.0
254.0,919.0
255.0,918.0
263.0,782.0
264.0,781.0
264.0,782.0
264.0,783.0
265.0,782.0
265.0,908.0
266.0,907.0
266.0,908.0
266.0,909.0
267.0,908.0
275.0,936.0
276.0,935.0
276.0,936.0
276.0,937.0
277.0,936.0
279.0,774.0
280.0,773.0
280.0,774.0
280.0,775.0
281.0,774.0
287.0,908.0
288.0,907.0
288.0,908.0
288.0,909.0
289.0,908.0
295.0,960.0
296.0,959.0
296.0,960.0
296.0,961.0
297.0,960.0
301.0,900.0
302.0,899.0
302.0,900.0
302.0,901.0
303.0,898.0
303.0,900.0
303.0,944.0
304.0,897.0
304.0,898.0
304.0,899.0
304.0,943.0
304.0,944.0
304.0,945.0
305.0,898.0
305.0,944.0
309.0,928.0
310.0,927.0
310.0,928.0
310.0,929.0
311.0,872.0
311.0,928.0
312.0,871.0
312.0,872.0
312.0,873.0
313.0,872.0
319.0,894.0
320.0,893.0
320.0,894.0
320.0,895.0
321.0,894.0
325.0,928.0
326.0,927.0
326.0,928.0
326.0,929.0
327.0,928.0
331.0,942.0
332.0,749.0
332.0,941.0
332.0,942.0
332.0,943.0
333.0,762.0
333.0,886.0
333.0,898.0
333.0,942.0
334.0,761.0
334.0,762.0
334.0,763.0
334.0,885.0
334.0,886.0
334.0,887.0
334.0,897.0
334.0,898.0
334.0,899.0
335.0,762.0
335.0,886.0
335.0,898.0
345.0,886.0
345.0,936.0
346.0,885.0
346.0,886.0
346.0,887.0
346.0,935.0
346.0,936.0
346.0,937.0
347.0,886.0
347.0,934.0
347.0,936.0
348.0,933.0
348.0,934.0
348.0,935.0
349.0,934.0
622.0,463.0
623.0,450.0
624.0,449.0
624.0,450.0
624.0,451.0
625.0,450.0
991.0,352.0
992.0,351.0
992.0,352.0
992.0,353.0
993.0,352.0
